                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3636,                 2.6128,                 1.5607,                0.32131,                0.58945,                0.55003,                0.32882,                 1.3407,                 4.1599,                  1.347,             0.00033159,             0.00033159,             0.00033159
                      2,                 1.2474,                 1.7917,                 1.4616,                0.59687,                0.62561,                0.63912,                0.45883,                0.97914,                 1.5331,                 1.2118,              0.0004455,              0.0004455,              0.0004455
                      3,                 1.2029,                 1.5701,                 1.4193,                0.64495,                0.67433,                0.74916,                0.60003,                0.74927,                 1.2231,                   1.06,             0.00033941,             0.00033941,             0.00033941
