                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4134,                 2.7104,                 1.5794,                0.45172,                0.60846,                0.53581,                0.30818,                 1.3354,                 2.0453,                 1.4691,             0.00032986,             0.00032986,             0.00032986
                      2,                 1.2974,                 1.7999,                 1.4579,                0.28878,                0.46297,                0.40636,                0.22079,                 1.4258,                 2.3102,                 1.6316,             0.00065006,             0.00065006,             0.00065006
                      3,                 1.2583,                 1.7022,                 1.4667,                0.53107,                0.56155,                0.55835,                0.29205,                 1.3241,                 1.8569,                  1.535,             0.00095707,             0.00095707,             0.00095707
                      4,                 1.2603,                 1.5928,                 1.4449,                0.70523,                0.62727,                0.72063,                0.41283,                 1.2835,                  1.482,                  1.472,              0.0009406,              0.0009406,              0.0009406
                      5,                   1.23,                 1.5046,                  1.443,                0.56865,                0.68324,                 0.6427,                0.36526,                 1.4415,                 1.5831,                 1.5706,              0.0009406,              0.0009406,              0.0009406
                      6,                 1.2247,                 1.4398,                 1.4367,                0.69252,                0.64787,                0.74209,                0.46335,                 1.1735,                  1.312,                 1.4317,              0.0009208,              0.0009208,              0.0009208
                      7,                 1.1776,                 1.3457,                 1.3983,                0.70996,                0.73075,                 0.7605,                0.46783,                 1.2494,                  1.224,                 1.4429,               0.000901,               0.000901,               0.000901
                      8,                 1.1471,                 1.2931,                 1.3945,                0.71723,                0.64561,                0.70578,                0.42717,                 1.2276,                 1.3473,                 1.4589,              0.0008812,              0.0008812,              0.0008812
                      9,                 1.1459,                 1.2749,                  1.363,                0.71968,                0.76262,                 0.7839,                0.49664,                 1.2099,                 1.1998,                 1.4043,              0.0008614,              0.0008614,              0.0008614
                     10,                 1.1557,                 1.1955,                 1.3792,                0.65408,                0.75491,                0.75731,                0.46846,                 1.2628,                 1.2032,                 1.4197,              0.0008416,              0.0008416,              0.0008416
                     11,                 1.1476,                 1.1464,                  1.374,                 0.6711,                0.79502,                0.75926,                0.48474,                 1.1966,                 1.1608,                 1.3764,              0.0008218,              0.0008218,              0.0008218
                     12,                 1.1354,                 1.1638,                 1.3735,                0.77256,                0.69719,                0.78671,                0.49631,                 1.1735,                 1.3112,                 1.3691,               0.000802,               0.000802,               0.000802
                     13,                 1.1107,                 1.1208,                 1.3546,                0.80217,                0.67541,                0.80046,                0.50729,                 1.1847,                 1.1665,                 1.3734,              0.0007822,              0.0007822,              0.0007822
                     14,                 1.0821,                  1.066,                 1.3416,                 0.8231,                0.72123,                0.83796,                 0.5168,                 1.1936,                 1.0421,                 1.3772,              0.0007624,              0.0007624,              0.0007624
                     15,                 1.0768,                  1.033,                 1.3182,                0.84661,                0.77228,                0.86673,                0.54634,                  1.166,                0.95713,                 1.3725,              0.0007426,              0.0007426,              0.0007426
                     16,                 1.0488,                 1.0142,                 1.3245,                0.76014,                0.78979,                 0.8003,                 0.5017,                 1.1288,                 1.1171,                 1.3594,              0.0007228,              0.0007228,              0.0007228
                     17,                 1.0596,                 1.0101,                 1.3262,                0.75398,                0.75994,                0.81935,                0.51727,                 1.2048,                 1.0879,                 1.3714,               0.000703,               0.000703,               0.000703
