                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     18,                 1.0528,                0.96881,                 1.3107,                 0.7131,                0.75895,                0.77966,                0.49799,                 1.1255,                 1.1058,                 1.3627,              0.0006832,              0.0006832,              0.0006832
                     19,                 1.0471,                0.93632,                 1.3028,                0.80329,                0.79035,                 0.8512,                0.55073,                 1.1208,                 1.0118,                 1.3322,              0.0006634,              0.0006634,              0.0006634
                     20,                 1.0129,                0.93947,                 1.2989,                0.84923,                0.75544,                 0.8583,                0.54227,                  1.173,                0.97088,                 1.3684,              0.0006436,              0.0006436,              0.0006436
                     21,                 1.0093,                0.90748,                 1.2998,                0.71708,                0.86129,                  0.836,                0.52332,                 1.1753,                 0.9775,                 1.3803,              0.0006238,              0.0006238,              0.0006238
                     22,                 1.0225,                 0.8799,                 1.2829,                0.75948,                0.74516,                0.81581,                0.52354,                 1.1313,                 1.0486,                 1.3593,               0.000604,               0.000604,               0.000604
                     23,                 1.0062,                0.84656,                 1.2812,                0.81539,                 0.8064,                0.85319,                0.54061,                 1.1244,                0.98391,                 1.3343,              0.0005842,              0.0005842,              0.0005842
                     24,                0.98459,                0.82085,                 1.2731,                 0.7475,                0.85907,                 0.8723,                0.56115,                 1.1394,                0.90455,                 1.3272,              0.0005644,              0.0005644,              0.0005644
                     25,                 1.0002,                0.82244,                 1.2677,                 0.8285,                 0.7897,                0.86585,                0.56315,                 1.1168,                 1.0594,                 1.3268,              0.0005446,              0.0005446,              0.0005446
                     26,                0.95693,                0.81432,                 1.2567,                0.74659,                0.87985,                0.86743,                0.56649,                 1.1441,                0.90754,                 1.3229,              0.0005248,              0.0005248,              0.0005248
                     27,                0.95277,                0.79387,                 1.2557,                0.77243,                0.80279,                0.82062,                0.53776,                 1.0994,                 1.0205,                 1.2988,               0.000505,               0.000505,               0.000505
                     28,                 0.9732,                0.77899,                 1.2537,                0.74638,                0.83308,                0.84915,                 0.5615,                 1.1084,                0.96728,                 1.3004,              0.0004852,              0.0004852,              0.0004852
                     29,                0.94465,                0.76804,                 1.2408,                 0.7472,                0.86296,                0.83735,                0.54802,                 1.1245,                0.94973,                 1.3352,              0.0004654,              0.0004654,              0.0004654
                     30,                0.93859,                0.75024,                 1.2409,                0.75324,                0.83145,                0.82887,                0.53116,                 1.1483,                0.92634,                 1.3516,              0.0004456,              0.0004456,              0.0004456
                     31,                0.93441,                  0.728,                 1.2303,                0.81575,                 0.8031,                0.85844,                0.55454,                 1.1261,                0.89986,                  1.337,              0.0004258,              0.0004258,              0.0004258
